ejekcbufrgthgnckleghnnfihrdedrnnlecbnrutcrdh,Complete EXTUNBIASED input data sets (good runs),,,,,,,NuMI FHC/RHC boundary defs,Runs,,,crt-remerging,4a,4b,4c,4d,5,,
Run,Defintion,Files,Events,EXT,avg events per file ,,,numi_run4_fhc_runs,"4c,4d",,,BNB reco1,not used,not used,,,,,no need
4 FHC,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4_numi_fhc_nuwro_overlay,11138,147782,,"[0.55,0.70)",,,,,,,,,,,,,,
4 RHC,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4_numi_rhc_nuwro_overlay,4910,206087,,"[0.55,0.66)",,,,,,,,,,,,,,
5 FHC,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_numi_fhc_nuwro_overlay,3143,189055,,"[0.55,0.63)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Run,BNB NC kaon,,,,,,,,,,,,,,,,,,
run4b,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_overlay_nc_kaon,1215,50680,,"[0.82, 0.848)",0.028,,,,,,,,,,,,,
run5,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_overlay_nc_kaon,841,51389,,"[0.82, 0.84)",0.02,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,BNB CC pi0,,,,,,,,,,,,,,,,,,
,prod_extunbiased_swizzle_inclusive_v4_goodruns_mcc9_run2_cc_pi0,,,,,,,,,,,,,,,,,,
,prod_extunbiased_swizzle_crt_inclusive_v7b_goodruns_mcc9_run4b_ccpi0,,,,,,,,,,,,,,,,,,
,prod_extunbiased_swizzle_crt_inclusive_v7c_goodruns_mcc9_run4c_ccpi0,,,,,,,,,,,,,,,,,,
,prod_extunbiased_swizzle_crt_inclusive_v8_goodruns_mcc9_run5_ccpi0,,,,,,,,,,,,,,,,,,
,prod_extunbiased_swizzle_crt_inclusive_v7d_goodruns_mcc9_run4d_ccpi0,,,,,,,,,,,,,,,,,,
,prod_extunbiased_swizzle_inclusive_v3_goodruns_mcc9_run1_high_lifetime_overlay_cc_pi0,,,,,,,,,,,,,,,,,,
,prod_extunbiased_swizzle_crt_inclusive_v6_v6a_goodruns_mcc9_run3_overlay_ccpi0,,,,,,,,,,,,,,,,,,
