run,subrun,event
19765,69,3496
19765,70,3507
19765,70,3511
19765,70,3526
19765,71,3565
19765,71,3566
19765,71,3577
19765,72,3605
19765,72,3606
19765,72,3613
19765,74,3702
19765,74,3708
19765,74,3710
19765,74,3712
19765,74,3716
19765,75,3766
19765,75,3768
19765,75,3783
19765,76,3812
19765,76,3845
19765,77,3888
19765,78,3907
19765,78,3932
19765,79,3964
19765,79,3982
19765,79,3992
19765,80,4009
19765,80,4037
19765,82,4121
19765,82,4142
19765,82,4145
19765,83,4158
19765,83,4178
19765,84,4227
19765,84,4244
19765,85,4258
19765,85,4282
19765,86,4302
19765,87,4370
19765,87,4397
19765,88,4416
19765,92,4601
19765,92,4603
19765,92,4611
19765,92,4628
19765,93,4662
19765,94,4708
19765,94,4725
19765,94,4737
19765,95,4800
19765,97,4857
19765,97,4870
19765,97,4891
19765,97,4892
19765,98,4943
19765,99,4960
19765,99,4965
19765,99,4973
19765,100,5047
19765,101,5081
19765,101,5089
19765,102,5105
19765,102,5132
19765,103,5183
19765,104,5207
19765,104,5208
19765,105,5261
19765,105,5281
19765,106,5306
19765,106,5332
19765,106,5334
19765,106,5342
19765,106,5349
19765,108,5430
19765,108,5431
19765,109,5487
19765,110,5507
19765,110,5542
19765,111,5586
19765,112,5601
19765,112,5606
19765,112,5627
19765,112,5639
19765,115,5752
19765,115,5757
19765,115,5767
19765,115,5776
19765,115,5782
19765,116,5829
19765,116,5839
19765,117,5880
19765,117,5884
19765,117,5892
19765,118,5913
19765,119,5966
19765,119,5968
19765,119,5988
19765,120,6007
19765,121,6053
19765,121,6094
19765,123,6153
19765,123,6178
19765,124,6205
19765,124,6218
19765,125,6263
19765,127,6359
19765,127,6375
19765,127,6378
19765,129,6457
19765,130,6511
19765,131,6582
19765,131,6588
19765,131,6589
19765,131,6594
19765,132,6622
19765,133,6670
19765,134,6713
19765,134,6724
19765,134,6742
19765,136,6831
19765,137,6883
19765,138,6918
19765,138,6942
19765,139,6972
19765,139,6998
19765,140,7001
19765,140,7035
19765,141,7068
19765,141,7078
19765,142,7119
19765,143,7154
19765,144,7201
19765,144,7231
19765,144,7240
19765,145,7279
19765,147,7390
19765,148,7420
19765,148,7436
19765,148,7445
19765,149,7451
19765,149,7473
19765,149,7497
19765,152,7617
19765,152,7618
19765,152,7633
19765,152,7645
19765,153,7667
19765,154,7706
19765,154,7727
19765,155,7757
19765,155,7789
19765,156,7820
19765,157,7894
19765,158,7919
19765,159,7963
19765,159,7964
19765,159,7993
19765,159,7999
19765,160,8025
19765,160,8047
19765,160,8049
19765,160,8050
19765,161,8059
19765,161,8089
19765,162,8140
19765,164,8219
19765,166,8303
19765,167,8357
19765,168,8428
19765,169,8478
19765,169,8489
19765,169,8493
19765,170,8516
19765,171,8566
19765,171,8567
19765,171,8582
19765,171,8594
19765,172,8613
19765,172,8614
19765,174,8715
19765,174,8717
19765,174,8718
